Time,Device ID,Bitrate,RSSI
20:26:37.336Z,3,2784.3137254901962,-91
20:26:38.337Z,3,2856,-91
20:26:39.347Z,3,2827.7227722772277,-91
20:26:40.353Z,3,2838.9662027833,-91
20:26:41.364Z,3,2809.099901088032,-91
20:26:42.373Z,3,2830.5252725470764,-91
20:26:43.374Z,3,2853.1468531468536,-92
20:26:44.378Z,3,2844.621513944223,-92
20:26:45.385Z,3,2838.9662027833,-92
20:26:46.391Z,3,2838.9662027833,-92
20:26:47.397Z,3,2838.9662027833,-92
20:26:48.406Z,3,2830.5252725470764,-92
20:26:49.416Z,3,2827.7227722772277,-92
20:26:50.422Z,3,2838.9662027833,-92
20:26:51.431Z,3,2814.6679881070368,-92
20:26:52.441Z,3,2811.8811881188117,-92
20:26:53.459Z,3,2789.7838899803537,-92
20:26:54.455Z,3,2867.4698795180725,-92
20:26:55.469Z,3,2816.568047337278,-92
20:26:56.475Z,3,2838.9662027833,-92
20:26:57.476Z,3,2853.1468531468536,-93
20:26:58.483Z,3,2836.146971201589,-92
20:26:59.486Z,3,2847.4576271186443,-92
20:27:00.498Z,3,2822.1343873517785,-92
20:27:01.498Z,3,2858.8588588588586,-92
20:27:02.502Z,3,2844.621513944223,-92
20:27:03.503Z,3,2853.1468531468536,-92
20:27:04.509Z,3,2838.9662027833,-92
20:27:05.519Z,3,2827.7227722772277,-92
20:27:06.531Z,3,2824.925816023739,-92
20:27:07.543Z,3,2822.1343873517785,-92
20:27:08.554Z,3,2824.925816023739,-92
20:27:09.559Z,3,2825.8706467661696,-92
20:27:10.560Z,3,2853.1468531468536,-93
20:27:11.560Z,3,2856,-92
20:27:12.566Z,3,2838.9662027833,-92
20:27:13.576Z,3,2827.7227722772277,-92
20:27:14.576Z,3,2858.8588588588586,-92
20:27:15.588Z,3,2822.1343873517785,-92
20:27:16.592Z,3,2844.621513944223,-93
20:27:17.591Z,3,2842.842842842843,-92
20:27:18.591Z,3,2856,-93
20:27:19.591Z,3,2858.8588588588586,-92
20:27:20.601Z,3,2827.7227722772277,-92
20:27:21.614Z,3,2803.5538005923004,-83
20:27:22.625Z,3,2809.099901088032,-83
20:27:23.637Z,3,2806.3241106719365,-81
20:27:24.649Z,3,2806.3241106719365,-80
20:27:25.652Z,3,2831.5054835493524,-88
20:27:26.653Z,3,2837.1628371628376,-77
20:27:27.665Z,3,2806.3241106719365,-86
20:27:28.676Z,3,2809.099901088032,-85
20:27:29.682Z,3,2823.0616302186877,-79
20:27:30.688Z,3,2823.0616302186877,-88
20:27:31.700Z,3,2806.3241106719365,-87
20:27:32.712Z,3,2806.3241106719365,-80
20:27:33.725Z,3,2803.5538005923004,-83
20:27:34.741Z,3,2795.2755905511813,-90
20:27:35.751Z,3,2811.8811881188117,-85
20:27:36.751Z,3,2840,-80
20:27:37.763Z,3,2806.3241106719365,-82
20:27:38.769Z,3,2823.0616302186877,-87
20:27:39.770Z,3,2837.1628371628376,-87
20:27:40.771Z,3,2837.1628371628376,-83
20:27:41.786Z,3,2798.0295566502464,-81
20:27:42.791Z,3,2825.8706467661696,-83
20:27:43.801Z,3,2814.6679881070368,-89
20:27:44.807Z,3,2823.0616302186877,-88
20:27:45.815Z,3,2817.4603174603176,-85
20:27:46.827Z,3,2806.3241106719365,-82
20:27:47.830Z,3,2831.5054835493524,-83
20:27:48.845Z,3,2798.0295566502464,-85
20:27:49.859Z,3,2800.7889546351084,-86
20:27:50.873Z,3,2800.7889546351084,-88
20:27:51.873Z,3,2840,-85
20:27:52.873Z,3,2840,-83
20:27:53.874Z,3,2840,-83
20:27:54.887Z,3,2803.5538005923004,-85
20:27:55.899Z,3,2806.3241106719365,-90
20:27:56.911Z,3,2806.3241106719365,-91
